sense_transcription_unit_start_site	sense_transcription_unit_end_site	sense_transcription_unit_direction	antisense_transcript_start_site	antisense_transcript_end_site	antisense_transcript_direction	antisense_transcript_end_location_information	antisense_transcript_length(WT_log)
1201722	1203267	+	1201381	1201819	-	end_as_asRNA_for_next_TU	438
1215204	1216362	+	1214987	1215429	-	end_as_asRNA_for_next_TU	442
1440527	1442769	+	1441153	1441493	-	end_in_gene	340
1509193	1511969	+	1509281	1509749	-	end_in_gene	468
1613262	1616576	+	1613324	1613739	-	end_in_gene	415
1699814	1703022	+	1699814	1700077	-	end_coding_next_gene	263
1708877	1709535	+	1709157	1709398	-	end_in_gene	241
1733616	1735509	+	1734660	1735090	-	end_in_gene	430
1757406	1761005	+	1760597	1760998	-	end_in_gene	401
1807910	1809244	+	1808318	1808604	-	end_in_gene	286
1993160	1994668	+	1993970	1994540	-	end_in_gene	570
2030684	2035271	+	2032221	2032586	-	end_in_gene	365
2035281	2038897	+	2036692	2037027	-	end_in_gene	335
2039121	2041737	+	2040978	2041409	-	end_in_gene	431
2064806	2069077	+	2065051	2065438	-	end_in_gene	387
2123181	2123668	+	2123190	2123556	-	end_in_gene	366
2171669	2172521	+	2171959	2172331	-	end_in_gene	372
2252010	2256082	+	2252455	2252823	-	end_in_gene	368
2313133	2314085	+	2313558	2313944	-	end_in_gene	386
2456909	2461481	+	2458976	2459311	-	end_in_gene	335
2487623	2489272	+	2488157	2488782	-	end_in_gene	625
2561486	2562557	+	2561274	2561707	-	end_as_asRNA_for_next_TU	433
2562562	2564029	+	2561992	2562753	-	end_as_asRNA_for_next_TU	761
2561486	2562557	+	2561826	2562354	-	end_in_gene	528
2614566	2617667	+	2614809	2615505	-	end_in_gene	696
2704707	2706494	+	2705597	2706185	-	end_in_gene	588
2827167	2828025	+	2827978	2828555	-	end_in_gene	577
2880030	2881411	+	2880191	2880964	-	end_in_gene	773
2882300	2884436	+	2882880	2883377	-	end_in_gene	497
2884441	2889794	+	2888767	2889188	-	end_in_gene	421
2925502	2926304	+	2925502	2925891	-	end_coding_next_gene	389
2949549	2950489	+	2949050	2949623	-	end_as_asRNA_for_next_TU	573
2969763	2973483	+	2969978	2970290	-	end_in_gene	312
3027918	3029867	+	3027992	3028790	-	end_as_asRNA_for_next_TU	798
3114792	3115285	+	3114542	3115113	-	end_as_asRNA_for_next_TU	571
3116149	3120566	+	3118065	3118452	-	end_in_gene	387
3267435	3276380	+	3272890	3273338	-	end_in_gene	448
3448501	3451761	+	3450374	3450812	-	end_in_gene	438
3458166	3459103	+	3457853	3458313	-	end_as_asRNA_for_next_TU	460
3520950	3527378	+	3525572	3526041	-	end_in_gene	469
3545444	3549035	+	3548498	3549097	-	end_in_gene	599
3567036	3568388	+	3567036	3567490	-	end_coding_next_gene	454
3672325	3675173	+	3674847	3675173	-	end_in_gene	326
3676063	3682097	+	3676992	3677570	-	end_in_gene	578
3903184	3904791	+	3903184	3903589	-	end_coding_next_gene	405
4116601	4117426	+	4116642	4117072	-	end_in_gene	430
4174343	4178272	+	4174511	4175065	-	end_in_gene	554
2928152	2930070	+	2929429	2930048	-	end_in_gene	619
3025442	3027908	+	3025733	3026233	-	end_in_gene	500
2864437	2868585	+	2866340	2866759	-	end_in_gene	419
170282	171203	+	170282	170550	-	end_coding_next_gene	268
1957645	1959240	+	1958839	1959172	-	end_in_gene	333
2916335	2917798	+	2917266	2917596	-	end_in_gene	330
941193	942672	+	941193	941447	-	end_coding_next_gene	254
2057462	2061156	+	2058270	2058610	-	end_in_gene	340
4225163	4227066	+	4225163	4225570	-	end_coding_next_gene	407
340998	341949	+	341640	341956	-	end_in_gene	316
1274160	1276295	+	1275600	1275960	-	end_in_gene	360
183579	186483	+	184533	185076	-	end_in_gene	543
1101784	1106399	+	1103719	1104129	-	end_in_gene	410
1201722	1203267	+	1201584	1202102	-	end_as_asRNA_for_next_TU	518
1296141	1298082	+	1296189	1296654	-	end_in_gene	465
1512870	1517487	+	1513097	1513370	-	end_in_gene	273
1753516	1757401	+	1753516	1753949	-	end_coding_next_gene	433
1779320	1780640	+	1780315	1780636	-	end_in_gene	321
2057462	2061156	+	2058221	2058641	-	end_in_gene	420
2456909	2461481	+	2460487	2461126	-	end_in_gene	639
3315241	3318330	+	3317473	3317884	-	end_in_gene	411
3584935	3585663	+	3584948	3585246	-	end_coding_next_gene	298
3785082	3786484	+	3785090	3785432	-	end_in_gene	342
4082986	4084622	+	4082986	4083227	-	end_coding_next_gene	241
295966	298106	+	296898	297356	-	end_in_gene	458
302866	305815	+	304028	304515	-	end_in_gene	487
660987	663449	+	662489	662925	-	end_in_gene	436
791661	794732	+	793844	794163	-	end_in_gene	319
1067565	1069879	+	1067681	1067884	-	end_in_gene	203
1131487	1133325	+	1131742	1132148	-	end_in_gene	406
1638230	1639670	+	1638561	1639265	-	end_in_gene	704
2029873	2030679	+	2030287	2030673	-	end_in_gene	386
2030684	2035271	+	2033242	2033638	-	end_in_gene	396
2160434	2162929	+	2161733	2162161	-	end_in_gene	428
2827167	2828025	+	2827931	2828259	-	end_in_gene	328
4140671	4142212	+	4141118	4141562	-	end_in_gene	444
4309224	4311177	+	4310699	4311106	-	end_in_gene	407
79483	80232	+	80056	80337	-	end_in_gene	281
731155	731923	+	731243	731521	-	end_in_gene	278
944331	947634	+	946365	946719	-	end_in_gene	354
1934806	1936408	+	1935641	1935946	-	end_in_gene	305
2109128	2109541	+	2109254	2109544	-	end_in_gene	290
2965905	2968533	+	2966425	2966760	-	end_in_gene	335
3516521	3520940	+	3516792	3517165	-	end_in_gene	373
3704155	3707803	+	3704393	3704766	-	end_in_gene	373
4318576	4319996	+	4319533	4319894	-	end_in_gene	361
3714479	3715942	+	3715103	3715437	-	end_in_gene	334
4178277	4180848	+	4179408	4179732	-	end_in_gene	324
3446009	3447391	+	3446912	3447190	-	end_in_gene	278
5183	11258	+	5691	6274	-	end_in_gene	583
5183	11258	+	9078	9494	-	end_in_gene	416
84002	85170	+	84457	84827	-	end_in_gene	370
117711	119902	+	118275	118770	-	end_in_gene	495
117711	119902	+	118904	119444	-	end_in_gene	540
136141	139700	+	138291	138603	-	end_in_gene	312
194916	196681	+	195490	196215	-	end_in_gene	725
196733	206637	+	198490	198795	-	end_in_gene	305
214967	218378	+	216753	217115	-	end_in_gene	362
276025	277871	+	277043	277750	-	end_in_gene	707
342104	356852	+	342011	342281	-	end_as_asRNA_for_next_TU	270
391312	392686	+	391605	392046	-	end_in_gene	441
794742	798671	+	795419	795775	-	end_in_gene	356
809898	811226	+	809852	810251	-	end_as_asRNA_for_next_TU	399
822911	823676	+	822668	823123	-	end_as_asRNA_for_next_TU	455
846017	848096	+	847218	847866	-	end_in_gene	648
860872	864579	+	862457	862860	-	end_in_gene	403
870000	872665	+	870058	870359	-	end_in_gene	301
870000	872665	+	870387	870705	-	end_in_gene	318
874555	876811	+	875803	876454	-	end_in_gene	651
941193	942672	+	941933	942681	-	end_in_gene	748
1014646	1016904	+	1015376	1015913	-	end_in_gene	537
1023228	1024394	+	1023245	1023687	-	end_in_gene	442
1069884	1073321	+	1070980	1071325	-	end_in_gene	345
1302860	1305664	+	1302902	1303235	-	end_in_gene	333
1348725	1351187	+	1348742	1349129	-	end_in_gene	387
1453013	1455069	+	1454066	1454720	-	end_in_gene	654
1455102	1457120	+	1454951	1455289	-	end_as_asRNA_for_next_TU	338
1457130	1458309	+	1457507	1457795	-	end_in_gene	288
1494570	1497191	+	1495794	1496142	-	end_in_gene	348
1526618	1531344	+	1527872	1528343	-	end_in_gene	471
1538396	1539168	+	1538396	1539153	-	end_coding_next_gene	757
1604832	1606359	+	1605743	1606139	-	end_in_gene	396
1619797	1622203	+	1620806	1621144	-	end_in_gene	338
1710712	1712185	+	1710577	1711338	-	end_as_asRNA_for_next_TU	761
1717659	1720776	+	1719264	1719847	-	end_in_gene	583
1729500	1731369	+	1729500	1730023	-	end_coding_next_gene	523
1753516	1757401	+	1755087	1755543	-	end_in_gene	456
1810192	1814769	+	1812181	1812520	-	end_in_gene	339
1851998	1854396	+	1852556	1852908	-	end_in_gene	352
1858600	1862344	+	1859401	1859815	-	end_in_gene	414
1906326	1907450	+	1906853	1907230	-	end_in_gene	377
1989049	1989830	+	1989236	1989665	-	end_in_gene	429
2072496	2073843	+	2072225	2072514	-	end_as_asRNA_for_next_TU	289
2113075	2115744	+	2113923	2114413	-	end_in_gene	490
2338717	2339441	+	2338800	2339167	-	end_in_gene	367
2544708	2545290	+	2544708	2545134	-	end_coding_next_gene	426
2551530	2554938	+	2551068	2551683	-	end_as_asRNA_for_next_TU	615
2559713	2561476	+	2561032	2561403	-	end_in_gene	371
2580429	2581764	+	2580636	2581017	-	end_in_gene	381
2614566	2617667	+	2614617	2615129	-	end_in_gene	512
2962966	2964330	+	2962535	2963010	-	end_as_asRNA_for_next_TU	475
2996013	2998052	+	2997069	2997576	-	end_in_gene	507
3027918	3029867	+	3027910	3028244	-	end_as_asRNA_for_next_TU	334
3027918	3029867	+	3028987	3029367	-	end_in_gene	380
3034739	3036131	+	3035016	3035539	-	end_in_gene	523
3183860	3187671	+	3184018	3184364	-	end_in_gene	346
3357549	3359406	+	3357558	3358002	-	end_in_gene	444
3405132	3407315	+	3405869	3406421	-	end_in_gene	552
3477363	3482701	+	3480465	3480882	-	end_in_gene	417
3587605	3590680	+	3590155	3590501	-	end_in_gene	346
3662973	3664915	+	3663715	3664082	-	end_in_gene	367
3704155	3707803	+	3705367	3705890	-	end_in_gene	523
3975548	3978172	+	3975982	3976354	-	end_in_gene	372
4235956	4243401	+	4237686	4238100	-	end_in_gene	414
4318576	4319996	+	4318672	4318936	-	end_in_gene	264
4320797	4321648	+	4320717	4321098	-	end_as_asRNA_for_next_TU	381
4339027	4340382	+	4339027	4339348	-	end_coding_next_gene	321
